;SF - UGS Rehden;SF - UGS Kraak;SF - UGS Stassfurt;SF - UGS Harsefeld;SF - UGS Breitbrunn;SF - UGS Epe Uniper H-Gas;SF - UGS Eschenfelden;SF - UGS Inzenham-West;SF - UGS Bierwang;SF - UGS Jemgum H (EWE);SF - UGS Peckensen;SF - UGS Etzel ESE (Uniper Ener
r2;0.5746857054873185;0.13896654030525368;0.5472611727720297;0.2717694748230952;0.5493053625377953;0.6866144028988108;0.2711700566362699;0.5085612451631454;0.43557395046075886;0.6204796713297802;0.4812282853241462;0.5860352052010233
rmse;56.90473875584471;3.2554122583178957;7.922815938398086;5.7830766692264035;8.871883147183484;24.448381852363223;2.102156837977288;8.649321237804307;12.45602376014002;5.231944389254532;7.781635250252982;14.706078670436996
nrmse;0.24741190763410745;0.40692653228973696;0.28295771208564596;0.30437245627507387;0.31685296954226727;0.2306451118147474;0.21761457950075444;0.28831070792681024;0.3114005940035005;0.2179976828856055;0.25938784167509943;0.2941215734087399
anrmse;0.34859354734011366;0.16695327402623475;0.41254599117746127;0.6359742635143227;0.2695177659826887;0.5651318486426666;0.3701648757500191;0.322960527790548;0.5328449315748418;0.40577065421971675;0.692072720653852;0.3249735101618614
cor;0.7634882463683859;0.37782575888906395;0.7437346534495841;0.5220346624876169;0.7525069632128657;0.8316326409215418;0.5921133093975153;0.7141613629722967;0.665256353984808;0.7886813004279958;0.7108129323978859;0.7847965569739697
l_reg;LinearRegression();LinearRegression();LinearRegression();LinearRegression();LinearRegression();LinearRegression();LinearRegression();LinearRegression();LinearRegression();LinearRegression();LinearRegression();LinearRegression()
